YoB,%vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+
2,0.07200000000000001,202,52,18,58.6,43.8,51.2,56.7,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128.0
4,0.044000000000000004,178,57,20,71.9,38.9,55.4,53.4,2831,10472,1663,3020,569,1835,97,1353,0.288,0.371,0.515,0.885,132.0
1,0.011000000000000001,81,44,17,39.9,27.6,33.8,53.4,1942,7037,1109,2134,332,1287,106,737,0.303,0.369,0.516,0.885,128.0
1,0.009000000000000001,103,48,19,51.6,33.9,42.7,53.4,2591,9157,1412,2591,354,1439,128,1155,0.283,0.367,0.479,0.845,119.0
1,0.004,16,16,16,11.1,12.8,11.9,53.4,1716,5641,798,1509,189,877,20,760,0.268,0.357,0.427,0.784,105.0
1,0.002,9,12,10,11.6,13.2,12.4,53.4,1302,4594,632,1272,165,630,82,314,0.277,0.326,0.448,0.775,98.0
1,0.0,46,21,12,18.0,18.9,18.5,53.4,1367,4928,748,1286,306,943,14,588,0.261,0.344,0.507,0.851,120.0
1,0.0,64,33,14,33.8,25.9,29.9,57.0,1975,7408,1249,2054,192,875,273,820,0.277,0.352,0.436,0.788,104.0
1,0.0,39,19,12,16.5,16.4,16.4,53.4,1405,5066,690,1531,130,735,18,477,0.302,0.367,0.447,0.814,109.0
1,0.0,21,26,11,17.9,18.7,18.3,44.2,1082,3892,483,1112,80,481,20,266,0.286,0.337,0.409,0.746,97.0
3,0.8270000000000001,169,57,20,65.4,41.8,53.6,57.0,2850,10876,1844,3060,291,1175,414,1160,0.281,0.363,0.433,0.796,112.0
3,0.6990000000000001,207,62,16,59.5,43.1,51.3,44.2,1912,6911,1048,2127,427,1335,17,759,0.308,0.377,0.545,0.922,143.0
5,0.557,150,59,15,79.9,48.4,64.1,53.4,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149.0
8,0.55,91,47,23,69.4,42.4,55.9,53.4,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123.0
3,0.368,340,77,22,162.8,72.7,117.7,53.4,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182.0
6,0.27,132,50,18,68.4,43.7,56.0,55.8,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147.0
14,0.251,119,40,20,70.6,44.7,57.7,55.4,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110.0
2,0.14,123,51,17,55.5,35.8,45.6,57.0,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123.0
6,0.129,100,48,19,52.6,36.0,44.3,53.4,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134.0
5,0.11800000000000001,148,58,17,72.7,44.7,58.7,56.7,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141.0
1,0.11699999999999999,158,61,22,60.5,38.0,49.3,56.7,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140.0
9,0.1,170,42,16,62.2,41.9,52.0,53.4,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163.0
15,0.091,134,34,14,42.4,35.7,39.1,53.4,1785,7003,1007,2153,222,1099,14,588,0.307,0.358,0.471,0.83,127.0
3,0.066,202,52,18,58.6,43.8,51.2,56.7,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128.0
1,0.055,113,41,14,44.3,43.1,43.7,55.4,1434,5586,927,1747,229,936,95,403,0.313,0.361,0.521,0.882,124.0
1,0.038,110,44,17,44.4,34.5,39.4,53.4,2035,7283,1241,2038,473,1512,14,1109,0.28,0.383,0.546,0.929,138.0
1,0.004,4,14,12,13.6,15.3,14.4,55.8,1152,3871,519,1017,126,555,107,303,0.263,0.326,0.425,0.751,94.0
1,0.002,35,14,14,32.3,28.8,30.5,58.1,1654,6024,913,1697,124,699,179,475,0.282,0.336,0.407,0.743,93.0
1,0.0,49,25,14,20.3,23.2,21.8,56.7,1763,6487,984,1779,325,1072,46,597,0.274,0.338,0.488,0.826,111.0
1,0.0,53,41,15,51.1,37.4,44.2,56.7,1847,6527,1121,1897,287,1078,109,1183,0.291,0.4,0.502,0.902,137.0
1,0.0,23,22,17,25.9,25.1,25.5,53.4,1621,5319,824,1479,233,865,148,601,0.278,0.358,0.482,0.84,119.0
1,0.0,24,16,15,12.3,15.9,14.1,53.4,1559,4532,629,1188,251,824,6,527,0.262,0.339,0.485,0.824,112.0
1,0.0,31,20,15,18.2,16.8,17.5,55.4,1652,5721,745,1576,186,756,23,450,0.275,0.328,0.433,0.762,99.0
1,0.993,235,61,22,83.8,54.0,68.9,58.1,2671,9801,1662,2781,630,1836,184,1312,0.284,0.37,0.538,0.907,136.0
4,0.83,207,62,16,59.5,43.1,51.3,44.2,1912,6911,1048,2127,427,1335,17,759,0.308,0.377,0.545,0.922,143.0
6,0.716,150,59,15,79.9,48.4,64.1,53.4,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149.0
9,0.698,91,47,23,69.4,42.4,55.9,53.4,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123.0
4,0.44299999999999995,340,77,22,162.8,72.7,117.7,53.4,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182.0
7,0.434,132,50,18,68.4,43.7,56.0,55.8,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147.0
15,0.409,119,40,20,70.6,44.7,57.7,55.4,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110.0
7,0.209,100,48,19,52.6,36.0,44.3,53.4,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134.0
3,0.166,123,51,17,55.5,35.8,45.6,57.0,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123.0
6,0.155,148,58,17,72.7,44.7,58.7,56.7,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141.0
