YoB,%vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+
1,0.012,149,44,16,47.1,36.6,41.9,55.4,2171,8434,1230,2407,307,1302,85,553,0.285,0.336,0.456,0.791,108.0
1,0.012,98,44,15,52.0,39.2,45.6,53.4,1879,6491,1146,1905,366,1234,86,1201,0.293,0.406,0.537,0.943,144.0
1,0.005,42,26,16,41.9,32.4,37.1,57.0,1927,7214,1009,2142,104,723,81,429,0.297,0.343,0.397,0.74,95.0
1,0.0,52,19,15,28.6,26.2,27.4,58.1,1731,6642,930,1794,270,958,109,472,0.27,0.319,0.459,0.778,104.0
1,0.0,29,23,10,32.4,31.2,31.8,53.4,1061,3749,653,1053,150,618,26,539,0.281,0.382,0.478,0.861,124.0
1,0.0,63,23,14,17.3,16.6,17.0,58.1,1994,7525,1075,2217,18,517,614,464,0.295,0.343,0.361,0.704,84.0
1,0.0,0,5,11,5.5,6.5,6.0,58.1,651,1921,260,462,76,251,21,162,0.24,0.302,0.422,0.724,92.0
1,0.0,31,19,12,24.8,24.6,24.7,53.4,1183,4058,619,1107,213,731,11,598,0.273,0.376,0.498,0.874,134.0
1,0.0,47,21,11,24.8,24.6,24.7,53.4,1278,4505,737,1200,222,754,95,636,0.266,0.36,0.481,0.841,121.0
1,0.997,337,67,20,71.3,42.4,56.8,55.4,2747,11195,1923,3465,260,1311,358,1082,0.31,0.377,0.44,0.817,115.0
10,0.7659999999999999,148,58,17,72.7,44.7,58.7,56.7,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141.0
8,0.607,340,77,22,162.8,72.7,117.7,53.4,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182.0
3,0.526,120,42,24,45.6,26.8,36.2,55.4,2968,10586,1445,2877,80,951,404,1028,0.272,0.336,0.352,0.688,82.0
3,0.353,99,40,17,70.1,43.6,56.9,55.8,2038,7398,1211,2077,316,1287,118,899,0.281,0.364,0.49,0.855,122.0
6,0.305,158,61,22,60.5,38.0,49.3,56.7,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140.0
2,0.292,175,59,17,61.8,46.6,54.2,53.4,2247,7962,1401,2519,369,1406,37,1335,0.316,0.414,0.539,0.953,133.0
4,0.282,226,69,19,69.3,39.9,54.6,53.4,2302,8244,1544,2574,555,1831,38,1329,0.312,0.411,0.585,0.996,154.0
7,0.275,123,51,17,55.5,35.8,45.6,57.0,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123.0
3,0.19399999999999998,109,34,17,62.7,46.4,54.6,58.1,2196,7599,1204,1933,434,1289,152,891,0.254,0.337,0.486,0.823,111.0
8,0.139,202,52,18,58.6,43.8,51.2,56.7,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128.0
1,0.055,95,54,18,60.2,41.6,50.9,56.7,2425,8480,1453,2470,288,1363,400,1476,0.291,0.395,0.475,0.87,128.0
1,0.025,80,36,18,28.1,21.5,24.8,53.4,2349,8393,1162,2340,439,1412,9,921,0.279,0.354,0.486,0.841,118.0
1,0.015,108,44,20,50.5,42.2,46.3,53.4,2260,7267,1227,2010,440,1441,20,1366,0.277,0.399,0.516,0.916,139.0
1,0.015,105,31,16,28.6,27.6,28.1,53.4,1975,7750,1152,2095,412,1159,289,496,0.27,0.319,0.5,0.819,112.0
1,0.005,29,25,17,38.3,31.1,34.7,55.8,1615,5518,816,1477,260,902,50,639,0.268,0.342,0.475,0.818,115.0
1,0.003,38,27,19,20.9,20.1,20.5,53.4,2161,7471,1055,2034,305,1207,50,713,0.272,0.335,0.465,0.801,111.0
1,0.003,75,32,14,17.9,17.7,17.8,53.4,2001,6883,1097,1631,462,1168,63,1317,0.237,0.364,0.49,0.854,124.0
1,0.0,34,24,14,29.5,28.1,28.8,57.0,1418,5531,850,1527,97,542,285,609,0.276,0.347,0.409,0.756,101.0
1,0.0,25,18,14,25.5,24.1,24.8,53.4,1493,4949,745,1146,286,818,29,817,0.232,0.346,0.462,0.808,117.0
1,0.0,54,32,14,39.5,30.7,35.1,55.4,1614,6477,1063,1817,113,587,314,643,0.281,0.346,0.402,0.748,96.0
1,0.0,18,19,12,22.0,22.5,22.3,55.8,1282,4701,708,1298,35,403,341,540,0.276,0.349,0.363,0.712,92.0
9,0.618,340,77,22,162.8,72.7,117.7,53.4,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182.0
4,0.529,99,40,17,70.1,43.6,56.9,55.8,2038,7398,1211,2077,316,1287,118,899,0.281,0.364,0.49,0.855,122.0
4,0.491,120,42,24,45.6,26.8,36.2,55.4,2968,10586,1445,2877,80,951,404,1028,0.272,0.336,0.352,0.688,82.0
3,0.449,175,59,17,61.8,46.6,54.2,53.4,2247,7962,1401,2519,369,1406,37,1335,0.316,0.414,0.539,0.953,133.0
7,0.406,158,61,22,60.5,38.0,49.3,56.7,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140.0
4,0.33899999999999997,109,34,17,62.7,46.4,54.6,58.1,2196,7599,1204,1933,434,1289,152,891,0.254,0.337,0.486,0.823,111.0
8,0.324,123,51,17,55.5,35.8,45.6,57.0,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123.0
5,0.282,226,69,19,69.3,39.9,54.6,53.4,2302,8244,1544,2574,555,1831,38,1329,0.312,0.411,0.585,0.996,154.0
9,0.17,202,52,18,58.6,43.8,51.2,56.7,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128.0
1,0.095,58,34,19,50.7,30.8,40.7,58.1,2372,8857,1296,2452,353,1391,195,661,0.277,0.331,0.461,0.793,110.0
2,0.087,95,54,18,60.2,41.6,50.9,56.7,2425,8480,1453,2470,288,1363,400,1476,0.291,0.395,0.475,0.87,128.0
1,0.01,85,39,18,32.4,29.4,30.9,55.8,2194,8136,1098,2303,386,1417,29,633,0.283,0.341,0.492,0.833,115.0
1,0.0,26,19,15,17.7,15.4,16.6,56.7,1536,5488,809,1522,197,794,75,527,0.277,0.344,0.461,0.805,113.0
1,0.0,14,19,12,21.4,23.5,22.5,56.7,1527,5369,805,1338,245,803,13,817,0.249,0.351,0.447,0.799,113.0
1,0.0,32,15,12,31.5,28.9,30.2,58.1,1299,4630,731,1274,108,489,231,381,0.275,0.34,0.425,0.765,102.0
1,0.779,171,55,20,55.3,35.2,45.3,53.4,2408,8640,1419,2472,541,1768,17,1319,0.286,0.38,0.552,0.931,141.0
10,0.66,340,77,22,162.8,72.7,117.7,53.4,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182.0
5,0.632,99,40,17,70.1,43.6,56.9,55.8,2038,7398,1211,2077,316,1287,118,899,0.281,0.364,0.49,0.855,122.0
4,0.52,175,59,17,61.8,46.6,54.2,53.4,2247,7962,1401,2519,369,1406,37,1335,0.316,0.414,0.539,0.953,133.0
5,0.414,109,34,17,62.7,46.4,54.6,58.1,2196,7599,1204,1933,434,1289,152,891,0.254,0.337,0.486,0.823,111.0
8,0.406,158,61,22,60.5,38.0,49.3,56.7,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140.0
1,0.34299999999999997,390,77,22,117.5,64.3,90.9,55.4,2784,10566,2021,3115,696,2086,329,1338,0.295,0.38,0.55,0.93,140.0
9,0.327,123,51,17,55.5,35.8,45.6,57.0,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123.0
6,0.289,226,69,19,69.3,39.9,54.6,53.4,2302,8244,1544,2574,555,1831,38,1329,0.312,0.411,0.585,0.996,154.0
5,0.239,120,42,24,45.6,26.8,36.2,55.4,2968,10586,1445,2877,80,951,404,1028,0.272,0.336,0.352,0.688,82.0
10,0.185,202,52,18,58.6,43.8,51.2,56.7,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128.0
1,0.094,121,42,17,47.6,32.7,40.1,55.4,2275,9294,1421,2455,231,936,470,813,0.264,0.324,0.418,0.743,95.0
3,0.086,95,54,18,60.2,41.6,50.9,56.7,2425,8480,1453,2470,288,1363,400,1476,0.291,0.395,0.475,0.87,128.0
2,0.053,58,34,19,50.7,30.8,40.7,58.1,2372,8857,1296,2452,353,1391,195,661,0.277,0.331,0.461,0.793,110.0
1,0.023,66,17,10,19.5,23.9,21.7,61.4,262,474,26,53,0,19,0,34,0.112,0.171,0.129,0.3,-16.0
1,0.02,99,25,13,14.7,19.2,17.0,53.4,1572,5707,848,1475,382,1194,12,709,0.258,0.343,0.515,0.859,125.0
1,0.015,109,33,14,50.6,38.0,44.3,53.4,1862,6936,1099,1862,409,1298,26,918,0.268,0.36,0.509,0.869,126.0
1,0.013000000000000001,56,20,14,27.0,24.4,25.7,53.4,1545,5699,772,1603,247,985,5,573,0.281,0.348,0.481,0.828,120.0
1,0.005,108,30,19,23.8,18.1,20.9,44.2,2059,7290,807,2043,188,909,15,308,0.28,0.319,0.42,0.739,94.0
1,0.005,85,27,12,23.8,24.9,24.4,53.4,1611,5821,862,1645,319,1028,18,847,0.283,0.382,0.506,0.887,134.0
1,0.0,53,22,15,39.1,32.3,35.7,53.4,1716,6655,998,1931,136,766,480,377,0.29,0.33,0.435,0.765,105.0
