Steroids,Name,YoB,Votes,%vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+
0,Gil Hodges,11,242,0.56,83,32,18,44.8,34.2,39.5,2071,7030,1105,1921,370,1274,63,943,0.273,0.359,0.487,0.846,120
0,Nellie Fox H,9,174,0.403,163,32,19,49,36.8,42.9,2367,9232,1279,2663,35,790,76,719,0.288,0.348,0.363,0.71,93
0,Maury Wills,2,166,0.384,104,30,14,39.7,29.6,34.7,1942,7588,1067,2134,20,458,586,552,0.281,0.33,0.331,0.661,88
0,Red Schoendienst HOF,11,159,0.368,110,30,19,42.3,31.7,37,2216,8479,1223,2449,84,773,89,606,0.289,0.337,0.387,0.724,94
0,Richie Ashburn HOF,12,130,0.301,112,41,15,63.9,44.5,54.2,2189,8365,1322,2574,29,586,234,1198,0.308,0.396,0.382,0.778,111
0,Roger Maris,6,127,0.294,89,22,12,38.2,32.3,35.2,1463,5101,826,1325,275,850,21,652,0.26,0.345,0.476,0.822,127
0,Luis Aparicio HOF,1,120,0.278,150,36,18,55.8,32.7,44.3,2599,10230,1335,2677,83,791,506,736,0.262,0.311,0.343,0.653,82
0,Mickey Vernon,14,88,0.204,72,33,20,34.5,25.4,30,2409,8731,1196,2495,172,1311,137,955,0.286,0.359,0.428,0.787,116
0,Al Dar,14,80,0.185,51,26,14,43.2,33.1,38.1,1828,7219,1064,2089,126,757,59,430,0.289,0.333,0.411,0.744,98
0,Harvey Kuenn,3,63,0.146,100,27,15,26,22.1,24,1833,6913,950,2092,87,671,68,594,0.303,0.357,0.408,0.765,108
0,Ted Kluszewski,13,58,0.134,77,24,15,32.4,29.2,30.8,1718,5929,848,1766,279,1028,20,492,0.298,0.353,0.498,0.85,123
0,Bill Mazeroski HOF,2,36,0.083,71,16,17,36.5,26,31.2,2163,7755,769,2016,138,853,27,447,0.26,0.299,0.367,0.667,84
0,Elston Howard,6,30,0.069,83,22,14,27,26.4,26.7,1605,5363,619,1471,167,762,9,373,0.274,0.322,0.427,0.749,108
0,Ken Boyer,5,20,0.046,87,36,15,62.8,46.3,54.6,2034,7455,1104,2143,282,1141,105,713,0.287,0.349,0.462,0.81,116
0,Curt Flood,3,14,0.032,59,16,15,41.9,32.8,37.3,1759,6357,851,1861,85,636,88,444,0.293,0.342,0.389,0.732,100
0,X-Bobby Thomson,14,11,0.025,31,21,15,33.3,26.9,30.1,1779,6305,903,1705,264,1026,38,559,0.27,0.332,0.462,0.794,110
0,X-Del Crandall,4,9,0.021,82,26,16,28.5,24.6,26.6,1573,5026,585,1276,179,657,26,424,0.254,0.312,0.404,0.716,96
0,X-Frank Howard,1,6,0.014,61,26,16,37.6,29.1,33.4,1895,6488,864,1774,382,1119,8,782,0.273,0.352,0.499,0.851,142
0,X-Clete Boyer,2,3,0.007,11,11,16,27.6,23.6,25.6,1725,5780,645,1396,162,654,41,470,0.242,0.299,0.372,0.67,86
0,X-Johnny Callison,1,1,0.002,36,16,16,38.5,34.4,36.5,1886,6652,926,1757,226,840,74,650,0.264,0.331,0.441,0.773,115
0,X-Hal Lanier,1,1,0.002,1,12,10,-0.9,2.5,0.8,1196,3703,297,843,8,273,11,136,0.228,0.255,0.275,0.529,50
0,X-Jimmy Stewart,1,0,0,0,0,10,-1.2,0.9,-0.2,777,1420,164,336,8,112,38,139,0.237,0.306,0.305,0.611,71
0,X-Jerry M,1,0,0,0,0,10,5.3,6,5.6,556,1527,120,357,15,130,1,157,0.234,0.307,0.318,0.625,81
0,X-Jose Pagan,1,0,0,5,11,15,5.7,8,6.9,1326,3689,387,922,52,372,46,244,0.25,0.298,0.344,0.641,79
0,X-Rich Reese,1,0,0,3,4,10,2.2,4.7,3.5,866,2020,248,512,52,245,16,158,0.253,0.312,0.384,0.695,95
0,X-Jim Beauchamp,1,0,0,0,0,10,-1.5,-0.1,-0.8,393,661,79,153,14,90,6,54,0.231,0.288,0.334,0.622,75
0,X-Tommie Age,1,0,0,17,11,12,25.4,26.3,25.9,1130,3912,558,999,130,433,167,342,0.255,0.32,0.412,0.732,109
0,X-Jeff Torborg,1,0,0,0,0,10,0.4,1.4,0.9,574,1391,78,297,8,101,3,103,0.214,0.268,0.265,0.533,57
0,X-Joe Pepitone,1,0,0,20,11,12,9.7,10.7,10.2,1397,5097,606,1315,219,721,41,302,0.258,0.301,0.432,0.733,105
0,X-Bernie Allen,1,0,0,0,14,12,9.4,9,9.2,1139,3404,357,815,73,352,13,370,0.239,0.314,0.357,0.671,91
0,X-Larry Stahl,1,0,0,0,2,10,2.3,2.9,2.6,730,1721,167,400,36,163,22,142,0.232,0.292,0.351,0.643,86
0,X-Gene Alley,1,0,0,20,16,11,24.2,24.1,24.2,1195,3927,442,999,55,342,63,300,0.254,0.31,0.354,0.665,88
0,X-John Stephenson,1,0,0,0,0,10,-2.2,0.1,-1.1,451,989,83,214,12,93,0,63,0.216,0.271,0.296,0.567,65
0,Ernie Banks,1,321,0.838,170,46,19,67.5,51.9,59.7,2528,9421,1305,2583,512,1636,50,763,0.274,0.33,0.5,0.83,122
0,Eddie Mathews HOF,4,239,0.624,162,54,17,96.6,54.5,75.6,2391,8537,1509,2315,512,1453,68,1444,0.271,0.376,0.509,0.885,143
0,Gil Hodges,9,224,0.585,83,32,18,44.8,34.2,39.5,2071,7030,1105,1921,370,1274,63,943,0.273,0.359,0.487,0.846,120
0,Enos Slaughter HOF,12,222,0.58,90,41,19,55.3,35.2,45.2,2380,7946,1247,2383,169,1304,71,1018,0.3,0.382,0.453,0.834,124
0,Duke Snider HOF,8,212,0.554,152,47,18,66.4,49.9,58.1,2143,7161,1259,2116,407,1333,99,971,0.295,0.38,0.54,0.919,140
0,Pee Wee Reese HOF,13,163,0.426,100,39,16,66.3,40.9,53.6,2166,8058,1338,2170,126,885,232,1210,0.269,0.366,0.377,0.743,99
0,Nellie Fox H,7,152,0.397,163,32,19,49,36.8,42.9,2367,9232,1279,2663,35,790,76,719,0.288,0.348,0.363,0.71,93
0,George Kell HO,13,141,0.368,90,29,15,37.4,27.8,32.6,1795,6702,880,2054,78,870,51,621,0.306,0.367,0.414,0.781,112
0,Richie Ashburn HOF,10,139,0.363,112,41,15,63.9,44.5,54.2,2189,8365,1322,2574,29,586,234,1198,0.308,0.396,0.382,0.778,111
0,Red Schoendienst HOF,9,105,0.274,110,30,19,42.3,31.7,37,2216,8479,1223,2449,84,773,89,606,0.289,0.337,0.387,0.724,94
0,Roger Maris,4,82,0.214,89,22,12,38.2,32.3,35.2,1463,5101,826,1325,275,850,21,652,0.26,0.345,0.476,0.822,127
0,Al Dar,12,66,0.172,51,26,14,43.2,33.1,38.1,1828,7219,1064,2089,126,757,59,430,0.289,0.333,0.411,0.744,98
0,Harvey Kuenn,1,57,0.149,100,27,15,26,22.1,24,1833,6913,950,2092,87,671,68,594,0.303,0.357,0.408,0.765,108
0,Ted Kluszewski,11,55,0.144,77,24,15,32.4,29.2,30.8,1718,5929,848,1766,279,1028,20,492,0.298,0.353,0.498,0.85,123
0,Mickey Vernon,12,52,0.136,72,33,20,34.5,25.4,30,2409,8731,1196,2495,172,1311,137,955,0.286,0.359,0.428,0.787,116
0,Walker Cooper,10,45,0.117,74,32,18,29,23.6,26.3,1473,4702,573,1341,173,812,18,309,0.285,0.332,0.464,0.796,116
0,Elston Howard,4,43,0.112,83,22,14,27,26.4,26.7,1605,5363,619,1471,167,762,9,373,0.274,0.322,0.427,0.749,108
0,Curt Flood,1,16,0.042,59,16,15,41.9,32.8,37.3,1759,6357,851,1861,85,636,88,444,0.293,0.342,0.389,0.732,100
0,Ken Boyer,3,14,0.037,87,36,15,62.8,46.3,54.6,2034,7455,1104,2143,282,1141,105,713,0.287,0.349,0.462,0.81,116
0,Bobby Thomson,12,10,0.026,31,21,15,33.3,26.9,30.1,1779,6305,903,1705,264,1026,38,559,0.27,0.332,0.462,0.794,110
0,Del Crandall,2,8,0.021,82,26,16,28.5,24.6,26.6,1573,5026,585,1276,179,657,26,424,0.254,0.312,0.404,0.716,96
0,Dick Groat,5,4,0.01,103,24,14,36.7,29.6,33.1,1929,7484,829,2138,39,707,14,490,0.286,0.33,0.366,0.696,89
0,Vic Wertz,8,4,0.01,35,26,17,27.4,22,24.7,1862,6099,867,1692,266,1178,9,828,0.277,0.364,0.469,0.833,121
0,X-Bill White,3,4,0.01,63,23,13,38.6,32,35.3,1673,5972,843,1706,202,870,103,596,0.286,0.351,0.455,0.806,116
0,Ralph Kiner,13,273,0.754,137,35,10,49.4,43.7,46.5,1472,5205,971,1451,369,1015,22,1011,0.279,0.398,0.548,0.946,149
0,Gil Hodges,7,188,0.519,83,32,18,44.8,34.2,39.5,2071,7030,1105,1921,370,1274,63,943,0.273,0.359,0.487,0.846,120
0,Enos Slaughter HOF,10,177,0.489,90,41,19,55.3,35.2,45.2,2380,7946,1247,2383,169,1304,71,1018,0.3,0.382,0.453,0.834,124
0,Pee Wee Reese HOF,11,154,0.425,100,39,16,66.3,40.9,53.6,2166,8058,1338,2170,126,885,232,1210,0.269,0.366,0.377,0.743,99
0,Eddie Mathews HOF,2,148,0.409,162,54,17,96.6,54.5,75.6,2391,8537,1509,2315,512,1453,68,1444,0.271,0.376,0.509,0.885,143
0,Duke Snider HOF,6,129,0.356,152,47,18,66.4,49.9,58.1,2143,7161,1259,2116,407,1333,99,971,0.295,0.38,0.54,0.919,140
0,Phil Cavarretta,12,129,0.356,42,22,22,34.6,25.2,29.9,2030,6754,990,1977,95,920,65,820,0.293,0.372,0.416,0.788,118
0,Phil Rizzuto HOF,13,117,0.323,87,23,13,40.8,33.8,37.3,1661,5816,877,1588,38,563,149,651,0.273,0.351,0.355,0.706,93
0,George Kell HO,11,114,0.315,90,29,15,37.4,27.8,32.6,1795,6702,880,2054,78,870,51,621,0.306,0.367,0.414,0.781,112
0,Red Schoendienst HOF,7,94,0.26,110,30,19,42.3,31.7,37,2216,8479,1223,2449,84,773,89,606,0.289,0.337,0.387,0.724,94
0,Richie Ashburn HOF,8,76,0.21,112,41,15,63.9,44.5,54.2,2189,8365,1322,2574,29,586,234,1198,0.308,0.396,0.382,0.778,111
0,Nellie Fox H,5,76,0.21,163,32,19,49,36.8,42.9,2367,9232,1279,2663,35,790,76,719,0.288,0.348,0.363,0.71,93
0,Roger Maris,2,70,0.193,89,22,12,38.2,32.3,35.2,1463,5101,826,1325,275,850,21,652,0.26,0.345,0.476,0.822,127
0,Al Dar,10,48,0.133,51,26,14,43.2,33.1,38.1,1828,7219,1064,2089,126,757,59,430,0.289,0.333,0.411,0.744,98
0,Ted Kluszewski,9,33,0.091,77,24,15,32.4,29.2,30.8,1718,5929,848,1766,279,1028,20,492,0.298,0.353,0.498,0.85,123
0,Elston Howard,2,23,0.064,83,22,14,27,26.4,26.7,1605,5363,619,1471,167,762,9,373,0.274,0.322,0.427,0.749,108
0,Mickey Vernon,10,22,0.061,72,33,20,34.5,25.4,30,2409,8731,1196,2495,172,1311,137,955,0.286,0.359,0.428,0.787,116
0,Walker Cooper,8,13,0.036,74,32,18,29,23.6,26.3,1473,4702,573,1341,173,812,18,309,0.285,0.332,0.464,0.796,116
0,Bobby Thomson,10,10,0.028,31,21,15,33.3,26.9,30.1,1779,6305,903,1705,264,1026,38,559,0.27,0.332,0.462,0.794,110
0,Ken Boyer,1,9,0.025,87,36,15,62.8,46.3,54.6,2034,7455,1104,2143,282,1141,105,713,0.287,0.349,0.462,0.81,116
0,Bill White,1,7,0.019,63,23,13,38.6,32,35.3,1673,5972,843,1706,202,870,103,596,0.286,0.351,0.455,0.806,116
0,Vic Wertz,6,5,0.014,35,26,17,27.4,22,24.7,1862,6099,867,1692,266,1178,9,828,0.277,0.364,0.469,0.833,121
0,Dick Groat,3,4,0.011,103,24,14,36.7,29.6,33.1,1929,7484,829,2138,39,707,14,490,0.286,0.33,0.366,0.696,89
0,X-Rocky Colavito,2,1,0.003,82,30,14,44.5,35.3,39.9,1841,6503,971,1730,374,1159,19,951,0.266,0.359,0.489,0.848,132
0,X-Bill Virdon,2,1,0.003,11,9,12,19.7,17.7,18.7,1583,5980,735,1596,91,502,47,442,0.267,0.316,0.379,0.696,89
0,Ralph Kiner HOF,11,235,0.618,137,35,10,49.4,43.7,46.5,1472,5205,971,1451,369,1015,22,1011,0.279,0.398,0.548,0.946,149
0,Gil Hodges,5,218,0.574,83,32,18,44.8,34.2,39.5,2071,7030,1105,1921,370,1274,63,943,0.273,0.359,0.487,0.846,120
0,Johnny Mize HO,11,157,0.413,175,47,15,70.9,48.7,59.8,1884,6443,1118,2011,359,1337,28,856,0.312,0.397,0.562,0.959,158
0,Enos Slaughter HOF,8,145,0.382,90,41,19,55.3,35.2,45.2,2380,7946,1247,2383,169,1304,71,1018,0.3,0.382,0.453,0.834,124
0,X-Marty Marion,12,127,0.334,57,17,13,31.6,26.2,28.9,1572,5506,602,1448,36,624,35,470,0.263,0.323,0.345,0.668,81
0,Pee Wee Reese HOF,9,126,0.332,100,39,16,66.3,40.9,53.6,2166,8058,1338,2170,126,885,232,1210,0.269,0.366,0.377,0.743,99
0,George Kell HO,9,114,0.3,90,29,15,37.4,27.8,32.6,1795,6702,880,2054,78,870,51,621,0.306,0.367,0.414,0.781,112
0,Phil Rizzuto HOF,11,111,0.292,87,23,13,40.8,33.8,37.3,1661,5816,877,1588,38,563,149,651,0.273,0.351,0.355,0.706,93
0,Duke Snider HOF,4,101,0.266,152,47,18,66.4,49.9,58.1,2143,7161,1259,2116,407,1333,99,971,0.295,0.38,0.54,0.919,140
0,Red Schoendienst HOF,5,96,0.253,110,30,19,42.3,31.7,37,2216,8479,1223,2449,84,773,89,606,0.289,0.337,0.387,0.724,94
0,Nellie Fox H,3,73,0.192,163,32,19,49,36.8,42.9,2367,9232,1279,2663,35,790,76,719,0.288,0.348,0.363,0.71,93
0,Phil Cavarretta,10,73,0.192,42,22,22,34.6,25.2,29.9,2030,6754,990,1977,95,920,65,820,0.293,0.372,0.416,0.788,118
0,Al Dar,8,53,0.139,51,26,14,43.2,33.1,38.1,1828,7219,1064,2089,126,757,59,430,0.289,0.333,0.411,0.744,98
0,Dom DiMaggio,9,43,0.113,64,28,11,32,26.7,29.4,1399,5640,1046,1680,87,618,100,750,0.298,0.383,0.419,0.802,110
0,Richie Ashburn HOF,6,25,0.066,112,41,15,63.9,44.5,54.2,2189,8365,1322,2574,29,586,234,1198,0.308,0.396,0.382,0.778,111
0,Mickey Vernon,8,23,0.061,72,33,20,34.5,25.4,30,2409,8731,1196,2495,172,1311,137,955,0.286,0.359,0.428,0.787,116
0,Ted Kluszewski,7,14,0.037,77,24,15,32.4,29.2,30.8,1718,5929,848,1766,279,1028,20,492,0.298,0.353,0.498,0.85,123
0,Walker Cooper,6,8,0.021,74,32,18,29,23.6,26.3,1473,4702,573,1341,173,812,18,309,0.285,0.332,0.464,0.796,116
0,Dick Groat,1,7,0.018,103,24,14,36.7,29.6,33.1,1929,7484,829,2138,39,707,14,490,0.286,0.33,0.366,0.696,89
0,Roy McMillan,2,5,0.013,27,16,16,25.6,20,22.8,2093,6752,739,1639,68,594,41,665,0.243,0.314,0.321,0.635,72
0,Bobby Thomson,8,3,0.008,31,21,15,33.3,26.9,30.1,1779,6305,903,1705,264,1026,38,559,0.27,0.332,0.462,0.794,110
0,Gil McDougald,8,2,0.005,54,21,10,40.7,32.1,36.4,1336,4676,697,1291,112,576,45,559,0.276,0.356,0.41,0.766,111
0,Vic Wertz,4,2,0.005,35,26,17,27.4,22,24.7,1862,6099,867,1692,266,1178,9,828,0.277,0.364,0.469,0.833,121
0,Bobby Richardson,2,2,0.005,69,12,12,8.2,10.4,9.3,1412,5386,643,1432,34,390,73,262,0.266,0.299,0.335,0.634,77
0,Smoky Burgess,1,1,0.003,46,34,18,33.4,23.4,28.4,1691,4471,485,1318,126,673,13,477,0.295,0.362,0.446,0.807,116
0,Yogi Berra HOF,1,242,0.672,227,49,19,59.8,38.2,49,2120,7555,1175,2150,358,1430,30,704,0.285,0.348,0.482,0.83,125
0,Ralph Kiner HOF,9,212,0.589,137,35,10,49.4,43.7,46.5,1472,5205,971,1451,369,1015,22,1011,0.279,0.398,0.548,0.946,149
0,Gil Hodges,3,180,0.5,83,32,18,44.8,34.2,39.5,2071,7030,1105,1921,370,1274,63,943,0.273,0.359,0.487,0.846,120
0,Enos Slaughter HOF,6,165,0.458,90,41,19,55.3,35.2,45.2,2380,7946,1247,2383,169,1304,71,1018,0.3,0.382,0.453,0.834,124
0,Johnny Mize HO,9,157,0.436,175,47,15,70.9,48.7,59.8,1884,6443,1118,2011,359,1337,28,856,0.312,0.397,0.562,0.959,158
0,Pee Wee Reese HOF,7,127,0.353,100,39,16,66.3,40.9,53.6,2166,8058,1338,2170,126,885,232,1210,0.269,0.366,0.377,0.743,99
0,Red Schoendienst HOF,3,123,0.342,110,30,19,42.3,31.7,37,2216,8479,1223,2449,84,773,89,606,0.289,0.337,0.387,0.724,94
0,Marty Marion,10,123,0.342,57,17,13,31.6,26.2,28.9,1572,5506,602,1448,36,624,35,470,0.263,0.323,0.345,0.668,81
0,George Kell HO,7,105,0.292,90,29,15,37.4,27.8,32.6,1795,6702,880,2054,78,870,51,621,0.306,0.367,0.414,0.781,112
0,Phil Rizzuto HOF,9,92,0.256,87,23,13,40.8,33.8,37.3,1661,5816,877,1588,38,563,149,651,0.273,0.351,0.355,0.706,93
0,Duke Snider HOF,2,89,0.247,152,47,18,66.4,49.9,58.1,2143,7161,1259,2116,407,1333,99,971,0.295,0.38,0.54,0.919,140
0,Phil Cavarretta,8,83,0.231,42,22,22,34.6,25.2,29.9,2030,6754,990,1977,95,920,65,820,0.293,0.372,0.416,0.788,118
0,X-Bobby Doerr HOF,12,78,0.217,96,41,14,51.2,36.4,43.8,1865,7093,1094,2042,223,1247,54,809,0.288,0.362,0.461,0.823,115
0,Al Dar,6,54,0.15,51,26,14,43.2,33.1,38.1,1828,7219,1064,2089,126,757,59,430,0.289,0.333,0.411,0.744,98
0,Nellie Fox H,1,39,0.108,163,32,19,49,36.8,42.9,2367,9232,1279,2663,35,790,76,719,0.288,0.348,0.363,0.71,93
0,Dom DiMaggio,7,15,0.042,64,28,11,32,26.7,29.4,1399,5640,1046,1680,87,618,100,750,0.298,0.383,0.419,0.802,110
0,Charlie Keller,10,14,0.039,47,30,13,43.1,38.7,40.9,1170,3790,725,1085,189,760,45,784,0.286,0.41,0.518,0.928,152
0,Mickey Vernon,6,12,0.033,72,33,20,34.5,25.4,30,2409,8731,1196,2495,172,1311,137,955,0.286,0.359,0.428,0.787,116
0,Richie Ashburn HOF,4,10,0.028,112,41,15,63.9,44.5,54.2,2189,8365,1322,2574,29,586,234,1198,0.308,0.396,0.382,0.778,111
0,Ted Kluszewski,5,9,0.025,77,24,15,32.4,29.2,30.8,1718,5929,848,1766,279,1028,20,492,0.298,0.353,0.498,0.85,123
0,X-Wally Moses,6,7,0.019,45,28,17,33.1,24.3,28.7,2012,7356,1124,2138,89,679,174,821,0.291,0.364,0.416,0.779,109
0,Walker Cooper,4,7,0.019,74,32,18,29,23.6,26.3,1473,4702,573,1341,173,812,18,309,0.285,0.332,0.464,0.796,116
0,Carl Furillo,4,5,0.014,41,27,15,35.1,26,30.6,1806,6378,895,1910,192,1058,48,514,0.299,0.355,0.458,0.813,112
0,Roy Sievers,1,4,0.011,50,26,17,25.6,22.7,24.1,1887,6387,945,1703,318,1147,14,841,0.267,0.354,0.475,0.829,124
0,Bobby Thomson,6,4,0.011,31,21,15,33.3,26.9,30.1,1779,6305,903,1705,264,1026,38,559,0.27,0.332,0.462,0.794,110
0,Gil McDougald,6,4,0.011,54,21,10,40.7,32.1,36.4,1336,4676,697,1291,112,576,45,559,0.276,0.356,0.41,0.766,111
0,Vic Power,1,2,0.006,38,10,12,15.5,17.1,16.3,1627,6046,765,1716,126,658,45,279,0.284,0.315,0.411,0.725,97
0,Jackie Jensen,5,2,0.006,56,25,11,27.9,24.8,26.3,1438,5236,810,1463,199,929,143,750,0.279,0.369,0.46,0.829,120
0,Vic Wertz,2,2,0.006,35,26,17,27.4,22,24.7,1862,6099,867,1692,266,1178,9,828,0.277,0.364,0.469,0.833,121
0,X-Wally Moo,1,2,0.006,25,21,12,24.9,25.7,25.3,1457,4843,737,1399,142,661,89,644,0.289,0.371,0.445,0.817,118
0,X-Bill Bruton,1,1,0.003,20,14,12,26.1,19.4,22.7,1610,6056,937,1651,94,545,207,482,0.273,0.328,0.393,0.72,96
0,Stan Musial,1,317,0.932,452,76,22,128.2,64.1,96.1,3026,10972,1949,3630,475,1951,78,1599,0.331,0.417,0.559,0.976,159
0,Roy Campanella,5,270,0.794,108,39,10,37,35.6,36.3,1215,4205,627,1161,242,856,25,533,0.276,0.36,0.5,0.86,123
0,Lou Boudreau HOF,9,218,0.641,89,34,15,63,48.7,55.8,1646,6029,861,1779,68,789,51,796,0.295,0.38,0.415,0.795,120
0,Ralph Kiner HOF,7,137,0.403,137,35,10,49.4,43.7,46.5,1472,5205,971,1451,369,1015,22,1011,0.279,0.398,0.548,0.946,149
0,Enos Slaughter HOF,4,128,0.376,90,41,19,55.3,35.2,45.2,2380,7946,1247,2383,169,1304,71,1018,0.3,0.382,0.453,0.834,124
0,Johnny Mize HO,7,116,0.341,175,47,15,70.9,48.7,59.8,1884,6443,1118,2011,359,1337,28,856,0.312,0.397,0.562,0.959,158
0,Marty Marion,8,112,0.329,57,17,13,31.6,26.2,28.9,1572,5506,602,1448,36,624,35,470,0.263,0.323,0.345,0.668,81
0,Joe Gordon HOF,11,97,0.285,88,31,11,57.2,45.8,51.5,1566,5707,914,1530,253,975,89,759,0.268,0.357,0.466,0.822,120
0,Pee Wee Reese HOF,5,89,0.262,100,39,16,66.3,40.9,53.6,2166,8058,1338,2170,126,885,232,1210,0.269,0.366,0.377,0.743,99
0,Gil Hodges,1,82,0.241,83,32,18,44.8,34.2,39.5,2071,7030,1105,1921,370,1274,63,943,0.273,0.359,0.487,0.846,120
0,Phil Rizzuto HOF,7,78,0.229,87,23,13,40.8,33.8,37.3,1661,5816,877,1588,38,563,149,651,0.273,0.351,0.355,0.706,93
0,Red Schoendienst HOF,1,65,0.191,110,30,19,42.3,31.7,37,2216,8479,1223,2449,84,773,89,606,0.289,0.337,0.387,0.724,94
0,Bobby Doerr HOF,10,62,0.182,96,41,14,51.2,36.4,43.8,1865,7093,1094,2042,223,1247,54,809,0.288,0.362,0.461,0.823,115
0,George Kell HO,5,60,0.176,90,29,15,37.4,27.8,32.6,1795,6702,880,2054,78,870,51,621,0.306,0.367,0.414,0.781,112
0,Tommy Henrich,9,50,0.147,49,27,11,35.7,28.1,31.9,1284,4603,901,1297,183,795,37,712,0.282,0.382,0.491,0.873,132
0,Al Dar,4,48,0.141,51,26,14,43.2,33.1,38.1,1828,7219,1064,2089,126,757,59,430,0.289,0.333,0.411,0.744,98
0,Phil Cavarretta,6,37,0.109,42,22,22,34.6,25.2,29.9,2030,6754,990,1977,95,920,65,820,0.293,0.372,0.416,0.788,118
0,Mickey Vernon,4,21,0.062,72,33,20,34.5,25.4,30,2409,8731,1196,2495,172,1311,137,955,0.286,0.359,0.428,0.787,116
0,Charlie Keller,8,14,0.041,47,30,13,43.1,38.7,40.9,1170,3790,725,1085,189,760,45,784,0.286,0.41,0.518,0.928,152
0,Dom DiMaggio,5,13,0.038,64,28,11,32,26.7,29.4,1399,5640,1046,1680,87,618,100,750,0.298,0.383,0.419,0.802,110
0,Ted Kluszewski,3,11,0.032,77,24,15,32.4,29.2,30.8,1718,5929,848,1766,279,1028,20,492,0.298,0.353,0.498,0.85,123
0,Richie Ashburn HOF,2,10,0.029,112,41,15,63.9,44.5,54.2,2189,8365,1322,2574,29,586,234,1198,0.308,0.396,0.382,0.778,111
0,X-Dixie Walker,4,9,0.026,83,35,18,42.7,30.3,36.5,1905,6740,1038,2064,105,1023,59,817,0.306,0.383,0.437,0.82,121
0,Minnie Minoso,1,6,0.018,87,35,17,50.5,39.9,45.2,1835,6579,1136,1963,186,1023,205,814,0.298,0.389,0.459,0.848,130
0,Bobby Thomson,4,6,0.018,31,21,15,33.3,26.9,30.1,1779,6305,903,1705,264,1026,38,559,0.27,0.332,0.462,0.794,110
0,Walker Cooper,2,5,0.015,74,32,18,29,23.6,26.3,1473,4702,573,1341,173,812,18,309,0.285,0.332,0.464,0.796,116
0,Wally Moses,4,4,0.012,45,28,17,33.1,24.3,28.7,2012,7356,1124,2138,89,679,174,821,0.291,0.364,0.416,0.779,109
0,Gil McDougald,4,3,0.009,54,21,10,40.7,32.1,36.4,1336,4676,697,1291,112,576,45,559,0.276,0.356,0.41,0.766,111
0,Jackie Jensen,3,1,0.003,56,25,11,27.9,24.8,26.3,1438,5236,810,1463,199,929,143,750,0.279,0.369,0.46,0.829,120
0,Joe Medwick HOF,8,212,0.726,200,47,17,55.6,39.7,47.6,1984,7635,1198,2471,205,1383,42,437,0.324,0.362,0.505,0.867,134
0,Roy Campanella HOF,3,204,0.699,108,39,10,37,35.6,36.3,1215,4205,627,1161,242,856,25,533,0.276,0.36,0.5,0.86,123
0,Lou Boudreau HOF,7,143,0.49,89,34,15,63,48.7,55.8,1646,6029,861,1779,68,789,51,796,0.295,0.38,0.415,0.795,120
0,Ralph Kiner HOF,5,124,0.425,137,35,10,49.4,43.7,46.5,1472,5205,971,1451,369,1015,22,1011,0.279,0.398,0.548,0.946,149
0,Enos Slaughter HOF,2,123,0.421,90,41,19,55.3,35.2,45.2,2380,7946,1247,2383,169,1304,71,1018,0.3,0.382,0.453,0.834,124
0,X-Al Lopez HOF,10,114,0.39,71,24,19,21.9,14.3,18.1,1950,5916,613,1547,51,652,46,556,0.261,0.326,0.337,0.663,83
0,Marty Marion,6,90,0.308,57,17,13,31.6,26.2,28.9,1572,5506,602,1448,36,624,35,470,0.263,0.323,0.345,0.668,81
0,Pee Wee Reese HOF,3,89,0.305,100,39,16,66.3,40.9,53.6,2166,8058,1338,2170,126,885,232,1210,0.269,0.366,0.377,0.743,99
0,Johnny Mize HO,5,89,0.305,175,47,15,70.9,48.7,59.8,1884,6443,1118,2011,359,1337,28,856,0.312,0.397,0.562,0.959,158
0,Phil Rizzuto HOF,5,71,0.243,87,23,13,40.8,33.8,37.3,1661,5816,877,1588,38,563,149,651,0.273,0.351,0.355,0.706,93
0,Joe Gordon HOF,9,66,0.226,88,31,11,57.2,45.8,51.5,1566,5707,914,1530,253,975,89,759,0.268,0.357,0.466,0.822,120
0,X-Billy Herman HOF,7,59,0.202,147,38,15,54.8,35.5,45.1,1922,7707,1163,2345,47,839,67,737,0.304,0.367,0.407,0.774,112
0,Arky Vaughan HOF,10,46,0.158,116,53,14,72.9,50.6,61.8,1817,6622,1173,2103,96,926,118,937,0.318,0.406,0.453,0.859,136
0,X-Ernie Lombardi HOF,9,43,0.147,133,42,17,46.8,28.8,37.8,1853,5855,601,1792,190,990,8,430,0.306,0.358,0.46,0.818,126
0,George Kell HO,3,40,0.137,90,29,15,37.4,27.8,32.6,1795,6702,880,2054,78,870,51,621,0.306,0.367,0.414,0.781,112
0,Al Dar,2,38,0.13,51,26,14,43.2,33.1,38.1,1828,7219,1064,2089,126,757,59,430,0.289,0.333,0.411,0.744,98
0,Bobby Doerr HOF,8,35,0.12,96,41,14,51.2,36.4,43.8,1865,7093,1094,2042,223,1247,54,809,0.288,0.362,0.461,0.823,115
0,Hank Bauer,1,23,0.079,27,16,14,27.3,25.6,26.4,1544,5145,833,1424,164,703,50,521,0.277,0.346,0.439,0.785,113
0,Phil Cavarretta,4,15,0.051,42,22,22,34.6,25.2,29.9,2030,6754,990,1977,95,920,65,820,0.293,0.372,0.416,0.788,118
