Steroids,Name,YoB,Votes,%vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+
0,Omar Vizquel,4,197,0.49,120,42,24,45.6,26.8,36.2,2968,10586,1445,2877,80,951,404,1028,0.272,0.336,0.352,0.688,82
0,Todd Helton,3,180,0.45,175,59,17,61.8,46.6,54.2,2247,7962,1401,2519,369,1406,37,1335,0.316,0.414,0.539,0.953,133
1,Gary Sheffield,7,163,0.41,158,61,22,60.5,38,49.3,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140
0,Andruw Jones,4,136,0.34,109,34,17,62.7,46.4,54.6,2196,7599,1204,1933,434,1289,152,891,0.254,0.337,0.486,0.823,111
0,Jeff Kent,8,130,0.32,123,51,17,55.5,35.8,45.6,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123
1,Manny Ramirez,5,113,0.28,226,69,19,69.3,39.9,54.6,2302,8244,1544,2574,555,1831,38,1329,0.312,0.411,0.585,0.996,154
1,Sammy Sosa,9,68,0.17,202,52,18,58.6,43.8,51.2,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128
0,Torii Hunter,1,38,0.10,58,34,19,50.7,30.8,40.7,2372,8857,1296,2452,353,1391,195,661,0.277,0.331,0.461,0.793,110
0,Bobby Abreu,2,35,0.09,95,54,18,60.2,41.6,50.9,2425,8480,1453,2470,288,1363,400,1476,0.291,0.395,0.475,0.87,128
0,X-Aramis Ramirez,1,4,0.01,85,39,18,32.4,29.4,30.9,2194,8136,1098,2303,386,1417,29,633,0.283,0.341,0.492,0.833,115
0,X-Nick Swisher,1,0,0.00,14,19,12,21.4,23.5,22.5,1527,5369,805,1338,245,803,13,817,0.249,0.351,0.447,0.799,113
0,X-Shane Victorino,1,0,0.00,32,15,12,31.5,28.9,30.2,1299,4630,731,1274,108,489,231,381,0.275,0.34,0.425,0.765,102
0,Derek Jeter,1,396,0.997,337,67,20,71.3,42.4,56.8,2747,11195,1923,3465,260,1311,358,1082,0.31,0.377,0.44,0.817,115
0,Larry Walker,10,304,0.766,148,58,17,72.7,44.7,58.7,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141
1,Barry Bonds,8,241,0.607,340,77,22,162.8,72.7,117.7,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182
0,Omar Vizquel,3,209,0.526,120,42,24,45.6,26.8,36.2,2968,10586,1445,2877,80,951,404,1028,0.272,0.336,0.352,0.688,82
0,Scott Rolen HOF,3,140,0.353,99,40,17,70.1,43.6,56.9,2038,7398,1211,2077,316,1287,118,899,0.281,0.364,0.49,0.855,122
1,Gary Sheffield,6,121,0.305,158,61,22,60.5,38,49.3,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140
0,Todd Helton,2,116,0.292,175,59,17,61.8,46.6,54.2,2247,7962,1401,2519,369,1406,37,1335,0.316,0.414,0.539,0.953,133
1,Manny Ramirez,4,112,0.282,226,69,19,69.3,39.9,54.6,2302,8244,1544,2574,555,1831,38,1329,0.312,0.411,0.585,0.996,154
0,Jeff Kent,7,109,0.275,123,51,17,55.5,35.8,45.6,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123
0,Andruw Jones,3,77,0.194,109,34,17,62.7,46.4,54.6,2196,7599,1204,1933,434,1289,152,891,0.254,0.337,0.486,0.823,111
1,Sammy Sosa,8,55,0.139,202,52,18,58.6,43.8,51.2,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128
0,Bobby Abreu,1,22,0.055,95,54,18,60.2,41.6,50.9,2425,8480,1453,2470,288,1363,400,1476,0.291,0.395,0.475,0.87,128
0,X-Paul Konerko,1,10,0.025,80,36,18,28.1,21.5,24.8,2349,8393,1162,2340,439,1412,9,921,0.279,0.354,0.486,0.841,118
1,X-Jason Giambi,1,6,0.015,108,44,20,50.5,42.2,46.3,2260,7267,1227,2010,440,1441,20,1366,0.277,0.399,0.516,0.916,139
0,X-Alfonso Soriano,1,6,0.015,105,31,16,28.6,27.6,28.1,1975,7750,1152,2095,412,1159,289,496,0.27,0.319,0.5,0.819,112
0,X-Eric Chavez,1,2,0.005,29,25,17,38.3,31.1,34.7,1615,5518,816,1477,260,902,50,639,0.268,0.342,0.475,0.818,115
0,X-Raul Ibanez,1,1,0.003,38,27,19,20.9,20.1,20.5,2161,7471,1055,2034,305,1207,50,713,0.272,0.335,0.465,0.801,111
1,X-Adam Dunn,1,1,0.003,75,32,14,17.9,17.7,17.8,2001,6883,1097,1631,462,1168,63,1317,0.237,0.364,0.49,0.854,124
