Rk,Name,YoB,Votes,%vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,Pos Summary
16,Harvey Kuenn,1st,57,14.9%,100,27,15,25.9,22.1,24.0,55.4,1833,6913,950,2092,87,671,68,594,0.303,0.357,0.408,0.765,108.0,,,,,,,,,,,,,,*6*7*98H53
17,Ted Kluszewski,11th,55,14.4%,77,24,15,31.4,28.5,30.0,53.4,1718,5929,848,1766,279,1028,20,492,0.298,0.353,0.498,0.85,123.0,,,,,,,,,,,,,,*3H
18,Mickey Vernon,12th,52,13.6%,72,33,20,35.4,25.5,30.5,53.4,2409,8731,1196,2495,172,1311,137,955,0.286,0.359,0.428,0.787,116.0,,,,,,,,,,,,,,*3H/79
19,Walker Cooper,10th,45,11.7%,74,32,18,27.2,22.8,25.0,44.2,1473,4702,573,1341,173,812,18,309,0.285,0.332,0.464,0.796,116.0,,,,,,,,,,,,,,*2*H
20,Elston Howard,4th,43,11.2%,83,22,15,27.0,26.4,26.7,44.2,1625,5443,635,1491,168,775,10,376,0.274,0.321,0.427,0.748,107.0,,,,,,,,,,,,,,*27H39
21,Don Newcombe,12th,43,11.2%,83,28,12,38.7,34.8,36.7,61.4,471,917,99,246,15,109,2,90,0.268,0.336,0.361,0.697,83.0,153.0,96.0,3.57,114.0,1.207,360.0,305.0,7.0,2251.2,2188.0,255.0,530.0,1187.0,*1H
22,Don Larsen,4th,39,10.2%,26,6,14,18.4,16.4,17.4,32.5,480,596,65,144,14,72,0,43,0.242,0.291,0.371,0.662,81.0,81.0,91.0,3.78,99.0,1.4,412.0,171.0,23.0,1548.0,1442.0,130.0,725.0,849.0,*1H/7
23,Roy Face,2nd,33,8.6%,47,11,16,20.6,18.0,19.3,32.5,853,194,9,31,0,7,0,2,0.16,0.168,0.175,0.344,-6.0,104.0,95.0,3.48,109.0,1.243,848.0,27.0,191.0,1375.0,1347.0,141.0,362.0,877.0,*1/H
24,Curt Flood,1st,16,4.2%,59,16,15,41.9,32.7,37.3,58.1,1759,6357,851,1861,85,636,88,444,0.293,0.342,0.389,0.732,100.0,,,,,,,,,,,,,,*8H/5749
25,Ken Boyer,3rd,14,3.7%,87,36,15,62.8,46.2,54.5,55.8,2034,7455,1104,2143,282,1141,105,713,0.287,0.349,0.462,0.81,116.0,,,,,,,,,,,,,,*58H36
26,Bobby Thomson,12th,10,2.6%,31,21,15,33.7,27.4,30.6,58.1,1779,6305,903,1705,264,1026,38,559,0.27,0.332,0.462,0.794,110.0,,,,,,,,,,,,,,*8*75H9/43
27,Del Crandall,2nd,8,2.1%,82,26,16,28.0,24.3,26.1,44.2,1573,5026,585,1276,179,657,26,424,0.254,0.312,0.404,0.716,96.0,,,,,,,,,,,,,,*2H/397
28,Harvey Haddix,7th,7,1.8%,30,20,14,33.3,26.8,30.0,61.4,531,798,95,169,4,64,4,46,0.212,0.255,0.296,0.551,47.0,136.0,113.0,3.63,108.0,1.233,453.0,286.0,20.0,2235.0,2154.0,240.0,601.0,1575.0,*1H/9
29,Vern Law,5th,5,1.3%,42,16,16,32.3,28.2,30.3,61.4,516,883,96,191,11,90,1,41,0.216,0.254,0.309,0.563,53.0,162.0,147.0,3.77,101.0,1.284,483.0,364.0,13.0,2672.0,2833.0,268.0,597.0,1092.0,*1H/9
30,X-Bill White,3rd,4,1.0%,63,23,13,38.6,32.0,35.3,53.4,1673,5972,843,1706,202,870,103,596,0.286,0.351,0.455,0.806,117.0,,,,,,,,,,,,,,*3H78/9
31,Vic Wertz,8th,4,1.0%,35,26,17,27.1,21.7,24.4,56.7,1862,6099,867,1692,266,1178,9,828,0.277,0.364,0.469,0.833,122.0,,,,,,,,,,,,,,*9*3H7/8
32,Dick Groat,5th,4,1.0%,103,24,14,36.8,29.6,33.2,55.4,1929,7484,829,2138,39,707,14,490,0.286,0.33,0.366,0.696,89.0,,,,,,,,,,,,,,*6H/534
33,X-Johnny Podres,3rd,3,0.8%,46,19,15,29.8,26.0,27.9,61.4,462,762,61,145,2,50,1,32,0.19,0.224,0.226,0.449,21.0,148.0,116.0,3.68,105.0,1.317,440.0,340.0,10.0,2265.0,2239.0,242.0,743.0,1435.0,*1/H
34,Camilo Pascual,1st,3,0.8%,67,22,18,40.9,38.2,39.5,61.4,542,967,71,198,5,81,0,46,0.205,0.243,0.264,0.506,40.0,174.0,170.0,3.63,103.0,1.287,529.0,404.0,10.0,2930.2,2703.0,256.0,1069.0,2167.0,*1/H
1,Eddie Mathews,5th,301,79.4%,162,54,17,96.0,53.8,74.9,55.8,2391,8537,1509,2315,512,1453,68,1444,0.271,0.376,0.509,0.885,143.0,,,,,,,,,,,,,,*53H7
2,Enos Slaughter HOF,13th,261,68.9%,90,41,19,57.6,37.3,47.5,56.7,2380,7946,1247,2383,169,1304,71,1018,0.3,0.382,0.453,0.834,124.0,,,,,,,,,,,,,,*9*7*H/8
3,Duke Snider HOF,9th,254,67.0%,152,47,18,65.9,49.5,57.7,58.1,2143,7161,1259,2116,407,1333,99,971,0.295,0.38,0.54,0.919,140.0,,,,,,,,,,,,,,*89H7
4,Gil Hodges HOF,10th,226,59.6%,83,32,18,43.8,33.6,38.7,53.4,2071,7030,1105,1921,370,1274,63,943,0.273,0.359,0.487,0.846,120.0,,,,,,,,,,,,,,*3H275/948
5,Don Drysdale HOF,4th,219,57.8%,134,42,14,67.1,44.7,55.9,61.4,547,1169,96,218,29,113,0,60,0.186,0.228,0.295,0.523,45.0,209.0,166.0,2.95,121.0,1.148,518.0,465.0,6.0,3432.0,3084.0,280.0,855.0,2486.0,*1H
6,Jim Bunning HOF,2nd,181,47.8%,98,42,17,59.4,48.9,54.2,61.4,601,1275,82,213,7,75,0,34,0.167,0.188,0.206,0.395,9.0,224.0,184.0,3.27,115.0,1.179,591.0,519.0,16.0,3760.1,3433.0,372.0,1000.0,2855.0,*1/H
7,X-Pee Wee Reese HOF,14th,169,44.6%,100,39,16,68.4,42.0,55.2,55.4,2166,8058,1338,2170,126,885,232,1210,0.269,0.366,0.377,0.743,99.0,,,,,,,,,,,,,,*65H
8,Hoyt Wilhelm HOF,1st,158,41.7%,97,30,21,46.8,26.7,36.7,32.5,1070,432,24,38,1,21,0,26,0.088,0.139,0.106,0.246,-31.0,143.0,122.0,2.52,147.0,1.125,1070.0,52.0,228.0,2254.1,1757.0,150.0,778.0,1610.0,*1
9,Richie Ashburn HOF,11th,158,41.7%,112,41,15,64.3,44.5,54.4,58.1,2189,8365,1322,2574,29,586,234,1198,0.308,0.396,0.382,0.778,111.0,,,,,,,,,,,,,,*8H79/4
10,Nellie Fox HOF,8th,149,39.3%,163,32,19,49.5,37.1,43.3,57.0,2367,9232,1279,2663,35,790,76,719,0.288,0.348,0.363,0.71,94.0,,,,,,,,,,,,,,*4H/53
11,Red Schoendienst HOF,10th,130,34.3%,110,30,19,44.8,32.6,38.7,57.0,2216,8479,1223,2449,84,773,89,606,0.289,0.337,0.387,0.724,94.0,,,,,,,,,,,,,,*4H765/8
12,Maury Wills,1st,115,30.3%,104,29,14,39.6,29.5,34.5,55.4,1942,7588,1067,2134,20,458,586,552,0.281,0.33,0.331,0.661,88.0,,,,,,,,,,,,,,*6*5H/4
13,Roger Maris,5th,83,21.9%,89,22,12,38.3,32.4,35.3,56.7,1463,5101,826,1325,275,850,21,652,0.26,0.345,0.476,0.822,127.0,,,,,,,,,,,,,,*98H/7
14,Lew Burdette,6th,76,20.1%,85,31,18,28.6,24.0,26.3,61.4,666,1011,101,185,12,75,2,32,0.183,0.216,0.253,0.469,29.0,203.0,144.0,3.66,99.0,1.243,626.0,373.0,32.0,3067.1,3186.0,289.0,628.0,1074.0,*1H
15,Mickey Vernon,13th,66,17.4%,72,33,20,35.4,25.5,30.5,53.4,2409,8731,1196,2495,172,1311,137,955,0.286,0.359,0.428,0.787,116.0,,,,,,,,,,,,,,*3H/79
16,Al Dark,13th,60,15.8%,51,26,14,43.9,33.7,38.8,55.4,1828,7219,1064,2089,126,757,59,430,0.289,0.333,0.411,0.744,98.0,0.0,0.0,18.0,33.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,*6*5H7/4391
17,Harvey Kuenn,2nd,58,15.3%,100,27,15,25.9,22.1,24.0,55.4,1833,6913,950,2092,87,671,68,594,0.303,0.357,0.408,0.765,108.0,,,,,,,,,,,,,,*6*7*98H53
18,Ted Kluszewski,12th,51,13.5%,77,24,15,31.4,28.5,30.0,53.4,1718,5929,848,1766,279,1028,20,492,0.298,0.353,0.498,0.85,123.0,,,,,,,,,,,,,,*3H
19,Don Newcombe,13th,48,12.7%,83,28,12,38.7,34.8,36.7,61.4,471,917,99,246,15,109,2,90,0.268,0.336,0.361,0.697,83.0,153.0,96.0,3.57,114.0,1.207,360.0,305.0,7.0,2251.2,2188.0,255.0,530.0,1187.0,*1H
20,Elston Howard,5th,41,10.8%,83,22,15,27.0,26.4,26.7,44.2,1625,5443,635,1491,168,775,10,376,0.274,0.321,0.427,0.748,107.0,,,,,,,,,,,,,,*27H39
21,Don Larsen,5th,32,8.4%,26,6,14,18.4,16.4,17.4,32.5,480,596,65,144,14,72,0,43,0.242,0.291,0.371,0.662,81.0,81.0,91.0,3.78,99.0,1.4,412.0,171.0,23.0,1548.0,1442.0,130.0,725.0,849.0,*1H/7
22,Roy Face,3rd,27,7.1%,47,11,16,20.6,18.0,19.3,32.5,853,194,9,31,0,7,0,2,0.16,0.168,0.175,0.344,-6.0,104.0,95.0,3.48,109.0,1.243,848.0,27.0,191.0,1375.0,1347.0,141.0,362.0,877.0,*1/H
23,Bill Mazeroski HOF,1st,23,6.1%,71,16,17,36.6,26.1,31.3,57.0,2163,7755,769,2016,138,853,27,447,0.26,0.299,0.367,0.667,84.0,,,,,,,,,,,,,,*4H/5
24,Ken Boyer,4th,18,4.7%,87,36,15,62.8,46.2,54.5,55.8,2034,7455,1104,2143,282,1141,105,713,0.287,0.349,0.462,0.81,116.0,,,,,,,,,,,,,,*58H36
25,Curt Flood,2nd,8,2.1%,59,16,15,41.9,32.7,37.3,58.1,1759,6357,851,1861,85,636,88,444,0.293,0.342,0.389,0.732,100.0,,,,,,,,,,,,,,*8H/5749
26,Harvey Haddix,8th,7,1.8%,30,20,14,33.3,26.8,30.0,61.4,531,798,95,169,4,64,4,46,0.212,0.255,0.296,0.551,47.0,136.0,113.0,3.63,108.0,1.233,453.0,286.0,20.0,2235.0,2154.0,240.0,601.0,1575.0,*1H/9
27,Vern Law,6th,6,1.6%,42,16,16,32.3,28.2,30.3,61.4,516,883,96,191,11,90,1,41,0.216,0.254,0.309,0.563,53.0,162.0,147.0,3.77,101.0,1.284,483.0,364.0,13.0,2672.0,2833.0,268.0,597.0,1092.0,*1H/9
28,Del Crandall,3rd,6,1.6%,82,26,16,28.0,24.3,26.1,44.2,1573,5026,585,1276,179,657,26,424,0.254,0.312,0.404,0.716,96.0,,,,,,,,,,,,,,*2H/397
29,Bobby Thomson,13th,5,1.3%,31,21,15,33.7,27.4,30.6,58.1,1779,6305,903,1705,264,1026,38,559,0.27,0.332,0.462,0.794,110.0,,,,,,,,,,,,,,*8*75H9/43
30,X-Vic Wertz,9th,4,1.1%,35,26,17,27.1,21.7,24.4,56.7,1862,6099,867,1692,266,1178,9,828,0.277,0.364,0.469,0.833,122.0,,,,,,,,,,,,,,*9*3H7/8
31,X-Dick Groat,6th,3,0.8%,103,24,14,36.8,29.6,33.2,55.4,1929,7484,829,2138,39,707,14,490,0.286,0.33,0.366,0.696,89.0,,,,,,,,,,,,,,*6H/534
32,Jim Maloney,1st,2,0.5%,50,29,12,37.5,36.9,37.2,61.4,321,628,51,126,7,53,2,33,0.201,0.241,0.28,0.521,44.0,134.0,84.0,3.19,115.0,1.259,302.0,262.0,4.0,1849.0,1518.0,138.0,810.0,1605.0,*1/H7
33,Denny McLain,1st,1,0.3%,93,26,10,19.3,22.2,20.8,61.4,285,616,32,82,1,31,1,25,0.133,0.166,0.153,0.318,-8.0,131.0,91.0,3.39,101.0,1.163,280.0,264.0,2.0,1886.0,1646.0,242.0,548.0,1282.0,1/H
34,X-Camilo Pascual,2nd,1,0.3%,67,22,18,40.9,38.2,39.5,61.4,542,967,71,198,5,81,0,46,0.205,0.243,0.264,0.506,40.0,174.0,170.0,3.63,103.0,1.287,529.0,404.0,10.0,2930.2,2703.0,256.0,1069.0,2167.0,*1/H
35,Clete Boyer,1st,1,0.3%,11,11,16,27.7,23.6,25.7,55.8,1725,5780,645,1396,162,654,41,470,0.242,0.299,0.372,0.67,86.0,,,,,,,,,,,,,,*56H4
36,X-Pedro Ramos,1st,0,0.0%,3,10,15,21.9,19.9,20.9,61.4,696,703,76,109,15,56,2,22,0.155,0.182,0.24,0.423,15.0,117.0,160.0,4.08,95.0,1.311,582.0,268.0,54.0,2355.2,2364.0,316.0,724.0,1305.0,*1H
37,X-Mudcat Grant,1st,0,0.0%,30,18,14,21.1,17.9,19.5,61.4,667,759,80,135,6,65,2,37,0.178,0.216,0.24,0.456,27.0,145.0,119.0,3.63,100.0,1.286,571.0,293.0,54.0,2442.0,2292.0,292.0,849.0,1267.0,*1H
1,Willie Mays,1st,409,94.7%,376,76,23,156.1,73.5,114.8,58.1,3005,10924,2068,3293,660,1909,339,1468,0.301,0.384,0.557,0.94,155.0,,,,,,,,,,,,,,*8H3/7965
2,Duke Snider HOF,10th,308,71.3%,152,47,18,65.9,49.5,57.7,58.1,2143,7161,1259,2116,407,1333,99,971,0.295,0.38,0.54,0.919,140.0,,,,,,,,,,,,,,*89H7
3,Enos Slaughter HOF,14th,297,68.8%,90,41,19,57.6,37.3,47.5,56.7,2380,7946,1247,2383,169,1304,71,1018,0.3,0.382,0.453,0.834,124.0,,,,,,,,,,,,,,*9*7*H/8
4,Gil Hodges HOF,11th,242,56.0%,83,32,18,43.8,33.6,38.7,53.4,2071,7030,1105,1921,370,1274,63,943,0.273,0.359,0.487,0.846,120.0,,,,,,,,,,,,,,*3H275/948
5,Don Drysdale HOF,5th,233,53.9%,134,42,14,67.1,44.7,55.9,61.4,547,1169,96,218,29,113,0,60,0.186,0.228,0.295,0.523,45.0,209.0,166.0,2.95,121.0,1.148,518.0,465.0,6.0,3432.0,3084.0,280.0,855.0,2486.0,*1H
6,Nellie Fox HOF,9th,174,40.3%,163,32,19,49.5,37.1,43.3,57.0,2367,9232,1279,2663,35,790,76,719,0.288,0.348,0.363,0.71,94.0,,,,,,,,,,,,,,*4H/53
7,Hoyt Wilhelm HOF,2nd,168,38.9%,97,30,21,46.8,26.7,36.7,32.5,1070,432,24,38,1,21,0,26,0.088,0.139,0.106,0.246,-31.0,143.0,122.0,2.52,147.0,1.125,1070.0,52.0,228.0,2254.1,1757.0,150.0,778.0,1610.0,*1
8,Maury Wills,2nd,166,38.4%,104,29,14,39.6,29.5,34.5,55.4,1942,7588,1067,2134,20,458,586,552,0.281,0.33,0.331,0.661,88.0,,,,,,,,,,,,,,*6*5H/4
9,Red Schoendienst HOF,11th,159,36.8%,110,30,19,44.8,32.6,38.7,57.0,2216,8479,1223,2449,84,773,89,606,0.289,0.337,0.387,0.724,94.0,,,,,,,,,,,,,,*4H765/8
10,Jim Bunning HOF,3rd,147,34.0%,98,42,17,59.4,48.9,54.2,61.4,601,1275,82,213,7,75,0,34,0.167,0.188,0.206,0.395,9.0,224.0,184.0,3.27,115.0,1.179,591.0,519.0,16.0,3760.1,3433.0,372.0,1000.0,2855.0,*1/H
11,Richie Ashburn HOF,12th,130,30.1%,112,41,15,64.3,44.5,54.4,58.1,2189,8365,1322,2574,29,586,234,1198,0.308,0.396,0.382,0.778,111.0,,,,,,,,,,,,,,*8H79/4
12,Roger Maris,6th,127,29.4%,89,22,12,38.3,32.4,35.3,56.7,1463,5101,826,1325,275,850,21,652,0.26,0.345,0.476,0.822,127.0,,,,,,,,,,,,,,*98H/7
13,Luis Aparicio HOF,1st,120,27.8%,150,36,18,55.8,32.6,44.2,55.4,2599,10230,1335,2677,83,791,506,736,0.262,0.311,0.343,0.653,82.0,,,,,,,,,,,,,,*6H
14,Mickey Vernon,14th,88,20.4%,72,33,20,35.4,25.5,30.5,53.4,2409,8731,1196,2495,172,1311,137,955,0.286,0.359,0.428,0.787,116.0,,,,,,,,,,,,,,*3H/79
15,Al Dark,14th,80,18.5%,51,26,14,43.9,33.7,38.8,55.4,1828,7219,1064,2089,126,757,59,430,0.289,0.333,0.411,0.744,98.0,0.0,0.0,18.0,33.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,*6*5H7/4391
16,Harvey Kuenn,3rd,63,14.6%,100,27,15,25.9,22.1,24.0,55.4,1833,6913,950,2092,87,671,68,594,0.303,0.357,0.408,0.765,108.0,,,,,,,,,,,,,,*6*7*98H53
17,Ted Kluszewski,13th,58,13.4%,77,24,15,31.4,28.5,30.0,53.4,1718,5929,848,1766,279,1028,20,492,0.298,0.353,0.498,0.85,123.0,,,,,,,,,,,,,,*3H
18,Don Larsen,6th,53,12.3%,26,6,14,18.4,16.4,17.4,32.5,480,596,65,144,14,72,0,43,0.242,0.291,0.371,0.662,81.0,81.0,91.0,3.78,99.0,1.4,412.0,171.0,23.0,1548.0,1442.0,130.0,725.0,849.0,*1H/7
19,Lew Burdette,7th,53,12.3%,85,31,18,28.6,24.0,26.3,61.4,666,1011,101,185,12,75,2,32,0.183,0.216,0.253,0.469,29.0,203.0,144.0,3.66,99.0,1.243,626.0,373.0,32.0,3067.1,3186.0,289.0,628.0,1074.0,*1H
20,Don Newcombe,14th,52,12.0%,83,28,12,38.7,34.8,36.7,61.4,471,917,99,246,15,109,2,90,0.268,0.336,0.361,0.697,83.0,153.0,96.0,3.57,114.0,1.207,360.0,305.0,7.0,2251.2,2188.0,255.0,530.0,1187.0,*1H
21,Bill Mazeroski HOF,2nd,36,8.3%,71,16,17,36.6,26.1,31.3,57.0,2163,7755,769,2016,138,853,27,447,0.26,0.299,0.367,0.667,84.0,,,,,,,,,,,,,,*4H/5
22,Roy Face,4th,35,8.1%,47,11,16,20.6,18.0,19.3,32.5,853,194,9,31,0,7,0,2,0.16,0.168,0.175,0.344,-6.0,104.0,95.0,3.48,109.0,1.243,848.0,27.0,191.0,1375.0,1347.0,141.0,362.0,877.0,*1/H
23,Elston Howard,6th,30,6.9%,83,22,15,27.0,26.4,26.7,44.2,1625,5443,635,1491,168,775,10,376,0.274,0.321,0.427,0.748,107.0,,,,,,,,,,,,,,*27H39
24,Ken Boyer,5th,20,4.6%,87,36,15,62.8,46.2,54.5,55.8,2034,7455,1104,2143,282,1141,105,713,0.287,0.349,0.462,0.81,116.0,,,,,,,,,,,,,,*58H36
25,Curt Flood,3rd,14,3.2%,59,16,15,41.9,32.7,37.3,58.1,1759,6357,851,1861,85,636,88,444,0.293,0.342,0.389,0.732,100.0,,,,,,,,,,,,,,*8H/5749
26,X-Bobby Thomson,14th,11,2.5%,31,21,15,33.7,27.4,30.6,58.1,1779,6305,903,1705,264,1026,38,559,0.27,0.332,0.462,0.794,110.0,,,,,,,,,,,,,,*8*75H9/43
27,X-Del Crandall,4th,9,2.1%,82,26,16,28.0,24.3,26.1,44.2,1573,5026,585,1276,179,657,26,424,0.254,0.312,0.404,0.716,96.0,,,,,,,,,,,,,,*2H/397
28,X-Vern Law,7th,9,2.1%,42,16,16,32.3,28.2,30.3,61.4,516,883,96,191,11,90,1,41,0.216,0.254,0.309,0.563,53.0,162.0,147.0,3.77,101.0,1.284,483.0,364.0,13.0,2672.0,2833.0,268.0,597.0,1092.0,*1H/9
29,Harvey Haddix,9th,8,1.9%,30,20,14,33.3,26.8,30.0,61.4,531,798,95,169,4,64,4,46,0.212,0.255,0.296,0.551,47.0,136.0,113.0,3.63,108.0,1.233,453.0,286.0,20.0,2235.0,2154.0,240.0,601.0,1575.0,*1H/9
30,X-Ron Perranoski,1st,6,1.4%,34,13,13,18.2,21.0,19.6,32.5,730,167,6,16,0,3,0,10,0.096,0.147,0.114,0.261,-25.0,79.0,74.0,2.79,124.0,1.332,737.0,1.0,178.0,1174.2,1097.0,50.0,468.0,687.0,*1
31,X-Frank Howard,1st,6,1.4%,61,26,16,37.6,29.1,33.3,53.4,1895,6488,864,1774,382,1119,8,782,0.273,0.352,0.499,0.851,142.0,,,,,,,,,,,,,,*7*9*3HD
32,X-Milt Pappas,1st,5,1.2%,40,34,17,43.8,28.5,36.1,61.4,527,1073,72,132,20,67,1,36,0.123,0.157,0.197,0.354,-3.0,209.0,164.0,3.4,110.0,1.225,520.0,465.0,4.0,3186.0,3046.0,298.0,858.0,1728.0,*1/H4
33,X-Clete Boyer,2nd,3,0.7%,11,11,16,27.7,23.6,25.7,55.8,1725,5780,645,1396,162,654,41,470,0.242,0.299,0.372,0.67,86.0,,,,,,,,,,,,,,*56H4
34,Denny McLain,2nd,3,0.7%,93,26,10,19.3,22.2,20.8,61.4,285,616,32,82,1,31,1,25,0.133,0.166,0.153,0.318,-8.0,131.0,91.0,3.39,101.0,1.163,280.0,264.0,2.0,1886.0,1646.0,242.0,548.0,1282.0,1/H
35,X-Jim Maloney,2nd,2,0.5%,50,29,12,37.5,36.9,37.2,61.4,321,628,51,126,7,53,2,33,0.201,0.241,0.28,0.521,44.0,134.0,84.0,3.19,115.0,1.259,302.0,262.0,4.0,1849.0,1518.0,138.0,810.0,1605.0,*1/H7
36,X-Chris Short,1st,1,0.2%,31,15,15,28.6,28.4,28.5,61.4,465,697,29,88,0,24,1,14,0.126,0.146,0.139,0.285,-19.0,135.0,132.0,3.43,104.0,1.299,501.0,308.0,18.0,2325.0,2215.0,183.0,806.0,1629.0,*1/H2
37,X-Hal Lanier,1st,1,0.2%,1,12,10,-0.9,2.5,0.8,55.4,1196,3703,297,843,8,273,11,136,0.228,0.255,0.275,0.529,50.0,,,,,,,,,,,,,,*6*45/H3
38,X-Johnny Callison,1st,1,0.2%,36,16,16,38.4,34.4,36.4,56.7,1886,6652,926,1757,226,840,74,650,0.264,0.331,0.441,0.773,115.0,,,,,,,,,,,,,,*97H/8D
39,X-Bernie Allen,1st,0,0.0%,0,14,12,9.3,8.8,9.1,57.0,1139,3404,357,815,73,352,13,370,0.239,0.314,0.357,0.671,91.0,,,,,,,,,,,,,,*4H5/D
40,X-Jose Pagan,1st,0,0.0%,5,11,15,5.7,8.0,6.8,55.4,1326,3689,387,922,52,372,46,244,0.25,0.298,0.344,0.641,79.0,,,,,,,,,,,,,,*6*5H7/4932
41,X-Gene Alley,1st,0,0.0%,20,16,11,24.2,24.1,24.1,55.4,1195,3927,442,999,55,342,63,300,0.254,0.31,0.354,0.665,88.0,,,,,,,,,,,,,,*64H5
42,X-Jim Beauchamp,1st,0,0.0%,0,0,10,-1.4,-0.7,-1.0,53.4,393,661,79,153,14,90,6,54,0.231,0.288,0.334,0.622,75.0,,,,,,,,,,,,,,H37/89
43,X-Jeff Torborg,1st,0,0.0%,0,0,10,0.3,1.4,0.9,44.2,574,1391,78,297,8,101,3,103,0.214,0.268,0.265,0.533,57.0,,,,,,,,,,,,,,*2/H
44,X-Bobby Bolin,1st,0,0.0%,10,13,13,18.9,19.7,19.3,32.5,457,423,39,69,6,35,1,35,0.163,0.232,0.232,0.464,31.0,88.0,75.0,3.4,104.0,1.244,495.0,164.0,51.0,1576.0,1364.0,164.0,597.0,1175.0,*1/H
45,X-Jimmy Stewart,1st,0,0.0%,0,0,10,-1.2,0.9,-0.2,55.4,777,1420,164,336,8,112,38,139,0.237,0.306,0.305,0.611,71.0,,,,,,,,,,,,,,*H74685/392
46,X-John Stephenson,1st,0,0.0%,0,0,10,-2.3,-0.4,-1.4,44.2,451,989,83,214,12,93,0,63,0.216,0.271,0.296,0.567,65.0,,,,,,,,,,,,,,*2H/5789
47,X-Larry Stahl,1st,0,0.0%,0,2,10,2.2,2.8,2.5,53.4,730,1721,167,400,36,163,22,142,0.232,0.292,0.351,0.643,86.0,,,,,,,,,,,,,,*H7983
48,X-Ray Culp,1st,0,0.0%,16,17,11,15.0,17.5,16.3,61.4,312,602,40,74,1,34,0,26,0.123,0.161,0.148,0.308,-13.0,122.0,101.0,3.58,100.0,1.28,322.0,268.0,1.0,1898.1,1677.0,188.0,752.0,1411.0,*1
49,X-Eddie Fisher,1st,0,0.0%,10,15,15,10.1,11.0,10.5,32.5,664,246,11,30,0,8,0,10,0.122,0.156,0.15,0.307,-12.0,85.0,70.0,3.41,101.0,1.193,690.0,63.0,82.0,1538.2,1398.0,149.0,438.0,812.0,*1
50,X-Fred Gladding,1st,0,0.0%,2,17,13,6.9,7.5,7.2,32.5,450,63,1,1,0,3,0,0,0.016,0.016,0.016,0.031,-91.0,48.0,34.0,3.13,114.0,1.313,450.0,1.0,109.0,601.0,566.0,38.0,223.0,394.0,*1
51,X-Rich Reese,1st,0,0.0%,3,4,10,2.2,4.5,3.3,53.4,866,2020,248,512,52,245,16,158,0.253,0.312,0.384,0.695,95.0,,,,,,,,,,,,,,*3H7/9
52,X-Tommie Agee,1st,0,0.0%,17,11,12,25.3,26.2,25.8,58.1,1130,3912,558,999,130,433,167,342,0.255,0.32,0.412,0.732,109.0,,,,,,,,,,,,,,*89H7
53,X-Joe Pepitone,1st,0,0.0%,20,11,12,9.8,10.7,10.2,53.4,1397,5097,606,1315,219,721,41,302,0.258,0.301,0.432,0.733,105.0,,,,,,,,,,,,,,*3*89H7
54,X-Jerry May,1st,0,0.0%,0,0,10,5.4,6.1,5.7,44.2,556,1527,120,357,15,130,1,157,0.234,0.307,0.318,0.625,81.0,,,,,,,,,,,,,,*2H
1,Al Kaline,1st,340,88.3%,160,58,22,92.8,48.8,70.8,56.7,2834,10116,1622,3007,399,1582,137,1277,0.297,0.376,0.48,0.855,134.0,,,,,,,,,,,,,,*9*8HD3/75
2,Duke Snider,11th,333,86.5%,152,47,18,65.9,49.5,57.7,58.1,2143,7161,1259,2116,407,1333,99,971,0.295,0.38,0.54,0.919,140.0,,,,,,,,,,,,,,*89H7
3,Don Drysdale HOF,6th,238,61.8%,134,42,14,67.1,44.7,55.9,61.4,547,1169,96,218,29,113,0,60,0.186,0.228,0.295,0.523,45.0,209.0,166.0,2.95,121.0,1.148,518.0,465.0,6.0,3432.0,3084.0,280.0,855.0,2486.0,*1H
4,Gil Hodges HOF,12th,230,59.7%,83,32,18,43.8,33.6,38.7,53.4,2071,7030,1105,1921,370,1274,63,943,0.273,0.359,0.487,0.846,120.0,,,,,,,,,,,,,,*3H275/948
5,Hoyt Wilhelm HOF,3rd,209,54.3%,97,30,21,46.8,26.7,36.7,32.5,1070,432,24,38,1,21,0,26,0.088,0.139,0.106,0.246,-31.0,143.0,122.0,2.52,147.0,1.125,1070.0,52.0,228.0,2254.1,1757.0,150.0,778.0,1610.0,*1
6,Jim Bunning HOF,4th,177,46.0%,98,42,17,59.4,48.9,54.2,61.4,601,1275,82,213,7,75,0,34,0.167,0.188,0.206,0.395,9.0,224.0,184.0,3.27,115.0,1.179,591.0,519.0,16.0,3760.1,3433.0,372.0,1000.0,2855.0,*1/H
7,Red Schoendienst HOF,12th,164,42.6%,110,30,19,44.8,32.6,38.7,57.0,2216,8479,1223,2449,84,773,89,606,0.289,0.337,0.387,0.724,94.0,,,,,,,,,,,,,,*4H765/8
8,Nellie Fox HOF,10th,161,41.8%,163,32,19,49.5,37.1,43.3,57.0,2367,9232,1279,2663,35,790,76,719,0.288,0.348,0.363,0.71,94.0,,,,,,,,,,,,,,*4H/53
