Rk,Name,YoB,Votes,%vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,Pos Summary
19,Al Dark,6th,54,15.0%,51,26,14,43.9,33.7,38.8,55.4,1828,7219,1064,2089,126,757,59,430,0.289,0.333,0.411,0.744,98.0,0.0,0.0,18.0,33.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,*6*5H7/4391
20,Nellie Fox HOF,1st,39,10.8%,163,32,19,49.5,37.1,43.3,57.0,2367,9232,1279,2663,35,790,76,719,0.288,0.348,0.363,0.71,94.0,,,,,,,,,,,,,,*4H/53
21,Bobo Newsom,9th,17,4.7%,69,23,20,47.8,36.4,42.1,61.4,609,1337,87,253,1,102,1,17,0.189,0.2,0.217,0.417,10.0,211.0,222.0,3.98,107.0,1.463,600.0,483.0,21.0,3759.1,3769.0,206.0,1732.0,2082.0,*1/H
22,Dom DiMaggio,7th,15,4.2%,64,28,11,33.5,28.1,30.8,58.1,1399,5640,1046,1680,87,618,100,750,0.298,0.383,0.419,0.802,111.0,,,,,,,,,,,,,,*8/H97
23,Charlie Keller,10th,14,3.9%,47,30,13,43.7,39.2,41.5,53.4,1170,3790,725,1085,189,760,45,784,0.286,0.41,0.518,0.928,152.0,,,,,,,,,,,,,,*7H9
24,Mickey Vernon,6th,12,3.3%,72,33,20,35.4,25.5,30.5,53.4,2409,8731,1196,2495,172,1311,137,955,0.286,0.359,0.428,0.787,116.0,,,,,,,,,,,,,,*3H/79
25,Johnny Sain,6th,11,3.1%,55,17,11,29.3,31.0,30.2,61.4,433,774,69,190,3,101,0,24,0.245,0.27,0.304,0.574,58.0,139.0,116.0,3.49,107.0,1.3,412.0,245.0,53.0,2125.2,2145.0,179.0,619.0,910.0,*1/H
26,Harvey Haddix,1st,10,2.8%,30,20,14,33.3,26.8,30.0,61.4,531,798,95,169,4,64,4,46,0.212,0.255,0.296,0.551,47.0,136.0,113.0,3.63,108.0,1.233,453.0,286.0,20.0,2235.0,2154.0,240.0,601.0,1575.0,*1H/9
27,Richie Ashburn HOF,4th,10,2.8%,112,41,15,64.3,44.5,54.4,58.1,2189,8365,1322,2574,29,586,234,1198,0.308,0.396,0.382,0.778,111.0,,,,,,,,,,,,,,*8H79/4
28,Ted Kluszewski,5th,9,2.5%,77,24,15,31.4,28.5,30.0,53.4,1718,5929,848,1766,279,1028,20,492,0.298,0.353,0.498,0.85,123.0,,,,,,,,,,,,,,*3H
29,Don Newcombe,6th,8,2.2%,83,28,12,38.7,34.8,36.7,61.4,471,917,99,246,15,109,2,90,0.268,0.336,0.361,0.697,83.0,153.0,96.0,3.57,114.0,1.207,360.0,305.0,7.0,2251.2,2188.0,255.0,530.0,1187.0,*1H
30,Harry Brecheen,5th,7,1.9%,67,27,12,42.2,32.6,37.4,61.4,321,673,48,129,2,44,0,45,0.192,0.247,0.235,0.481,30.0,133.0,92.0,2.92,133.0,1.188,318.0,240.0,18.0,1907.2,1731.0,116.0,536.0,901.0,*1/H
31,X-Wally Moses,6th,7,1.9%,45,28,17,36.5,26.1,31.3,56.7,2012,7356,1124,2138,89,679,174,821,0.291,0.364,0.416,0.779,109.0,,,,,,,,,,,,,,*9H8/7
32,Billy Pierce,2nd,7,1.9%,82,35,18,53.4,37.9,45.6,61.4,616,1102,94,203,0,69,1,65,0.184,0.232,0.203,0.435,19.0,211.0,169.0,3.27,119.0,1.26,585.0,433.0,33.0,3306.2,2989.0,284.0,1178.0,1999.0,*1H/3
33,Walker Cooper,4th,7,1.9%,74,32,18,27.2,22.8,25.0,44.2,1473,4702,573,1341,173,812,18,309,0.285,0.332,0.464,0.796,116.0,,,,,,,,,,,,,,*2*H
34,Bobby Shantz,2nd,5,1.4%,52,16,16,34.6,24.9,29.7,32.5,578,548,60,107,1,46,3,47,0.195,0.265,0.245,0.509,38.0,119.0,99.0,3.38,119.0,1.26,537.0,171.0,48.0,1935.2,1795.0,151.0,643.0,1072.0,*1H/8
35,Carl Furillo,4th,5,1.4%,41,27,15,34.6,25.5,30.0,56.7,1806,6378,895,1910,192,1058,48,514,0.299,0.355,0.458,0.813,112.0,,,,,,,,,,,,,,*9*8H7
36,Roy Sievers,1st,4,1.1%,50,26,17,25.5,22.8,24.2,53.4,1887,6387,945,1703,318,1147,14,841,0.267,0.354,0.475,0.829,124.0,,,,,,,,,,,,,,*3*7H85/9
37,Bobby Thomson,6th,4,1.1%,31,21,15,33.7,27.4,30.6,58.1,1779,6305,903,1705,264,1026,38,559,0.27,0.332,0.462,0.794,110.0,,,,,,,,,,,,,,*8*75H9/43
38,Gil McDougald,6th,4,1.1%,54,21,10,40.7,32.2,36.5,57.0,1336,4676,697,1291,112,576,45,559,0.276,0.356,0.41,0.766,111.0,,,,,,,,,,,,,,*4*56H
39,Eddie Lopat,4th,4,1.1%,64,27,12,32.1,27.2,29.7,61.4,357,887,87,187,5,77,0,73,0.211,0.271,0.268,0.539,50.0,166.0,112.0,3.21,116.0,1.277,340.0,318.0,3.0,2439.1,2464.0,179.0,650.0,859.0,*1/H
